cours complétés;;;;;;
A26;GMC-1001;MAT-1900;GMC-1024;IFT-1903;GMC-1004;
H27;GMC-2001;MAT-2910;MAT-1910;GMC-1003;GMC-1005;
E27;;;;;;
A27;GMC-2002;GMC-2003;GMC-2006;GMC-1002;;
H28;GMC-3000;GML-1001;ECN-4901;GMC-2005;GMN-2900;
E28;GMC-2580;;;;;
A28;GMC-3009;GMC-3002;GMC-2024;GMC-3005;;
H29;GMC-2007;STT-1900;GMC-2025;GMC-2008;;
E29;;;;;;
A29;OPT-ION1;GMC-3003;GMC-3024;LAN-GUES;;
H30;OPT-ION2;GMC-3006;GMC-3025;PHI-2910;;
E30;;;;;;
A30;OPT-ION3;OPT-ION4;OPT-ION5;PHI-3900;;
H31;GMC-3020;GMC-3034;GMC-3035;;;
